district_id,district_name,aqi_value,date,component
ID_01949,Xã Phúc Lộc,74.0,2026-01-07,aqi
ID_00974,Xã Phúc Thọ,72.0,2026-01-07,aqi
ID_01925,Xã Thạch Thất,71.0,2026-01-07,aqi
ID_00524,Phường Sơn Tây,70.0,2026-01-07,aqi
ID_02288,Xã Hạ Bằng,70.0,2026-01-07,aqi
ID_01151,Xã Đại Xuyên,69.0,2026-01-07,aqi
ID_00517,Xã Tây Phương,68.0,2026-01-07,aqi
ID_01637,Xã Ứng Hòa,68.0,2026-01-07,aqi
ID_00042,Xã Phú Cát,67.0,2026-01-07,aqi
ID_02509,Xã Xuân Mai,67.0,2026-01-07,aqi
ID_01581,Xã Kiều Phú,67.0,2026-01-07,aqi
ID_01784,Phường Việt Hưng,67.0,2026-01-07,aqi
ID_02233,Xã Chuyên Mỹ,66.0,2026-01-07,aqi
ID_01346,Xã Hát Môn,66.0,2026-01-07,aqi
ID_02069,Xã Phù Đổng,66.0,2026-01-07,aqi
ID_02968,Xã Vân Đình,66.0,2026-01-07,aqi
ID_00287,Xã Phúc Sơn,65.0,2026-01-07,aqi
ID_00588,Xã Hòa Xá,65.0,2026-01-07,aqi
ID_01289,Xã Hòa Lạc,64.0,2026-01-07,aqi
ID_01844,Xã Đoài Phương,63.0,2026-01-07,aqi
ID_03299,Xã Ứng Thiên,63.0,2026-01-07,aqi
ID_00507,Xã Hồng Sơn,62.0,2026-01-07,aqi
ID_01371,Xã Trần Phú,62.0,2026-01-07,aqi
ID_02599,Xã Thư Lâm,62.0,2026-01-07,aqi
ID_01021,Xã Yên Lãng,61.0,2026-01-07,aqi
ID_01473,Xã Minh Châu,61.0,2026-01-07,aqi
ID_01542,Xã Đông Anh,60.0,2026-01-07,aqi
ID_02607,Xã Mỹ Đức,60.0,2026-01-07,aqi
ID_00700,Phường Tùng Thiện,60.0,2026-01-07,aqi
ID_02613,Xã Tiến Thắng,59.0,2026-01-07,aqi
ID_00018,Phường Hai Bà Trưng,59.0,2026-01-07,aqi
ID_01395,Xã Đa Phúc,59.0,2026-01-07,aqi
ID_00945,Xã Bất Bạt,59.0,2026-01-07,aqi
ID_01560,Xã Phú Nghĩa,59.0,2026-01-07,aqi
ID_01256,Xã Liên Minh,59.0,2026-01-07,aqi
ID_01090,Xã Vật Lại,58.0,2026-01-07,aqi
ID_00721,Xã Quảng Oai,58.0,2026-01-07,aqi
ID_02431,Phường Phúc Lợi,58.0,2026-01-07,aqi
ID_00364,Phường Bạch Mai,57.0,2026-01-07,aqi
ID_00124,Xã Thuận An,57.0,2026-01-07,aqi
ID_02016,Xã Cổ Đô,57.0,2026-01-07,aqi
ID_00936,Xã Hòa Phú,57.0,2026-01-07,aqi
ID_01172,Xã Hương Sơn,57.0,2026-01-07,aqi
ID_01096,Phường Kim Liên,56.0,2026-01-07,aqi
ID_00393,Phường Văn Miếu - Quốc Tử Giám,56.0,2026-01-07,aqi
ID_02388,Xã Nội Bài,56.0,2026-01-07,aqi
ID_01442,Xã Phượng Dực,56.0,2026-01-07,aqi
ID_00822,Xã Quang Minh,56.0,2026-01-07,aqi
ID_00601,Xã Suối Hai,55.0,2026-01-07,aqi
ID_00938,Xã Quốc Oai,55.0,2026-01-07,aqi
ID_03258,Xã Phúc Thịnh,55.0,2026-01-07,aqi
ID_01070,Xã Mê Linh,55.0,2026-01-07,aqi
ID_01444,Xã Gia Lâm,55.0,2026-01-07,aqi
ID_02515,Phường Hoàn Kiếm,55.0,2026-01-07,aqi
ID_01525,Phường Vĩnh Tuy,55.0,2026-01-07,aqi
ID_00245,Phường Bồ Đề,55.0,2026-01-07,aqi
ID_02065,Phường Đống Đa,55.0,2026-01-07,aqi
ID_01670,Xã Sóc Sơn,55.0,2026-01-07,aqi
ID_02000,Phường Cửa Nam,55.0,2026-01-07,aqi
ID_01372,Phường Long Biên,54.0,2026-01-07,aqi
ID_01760,Phường Láng,54.0,2026-01-07,aqi
ID_00253,Xã Quảng Bị,54.0,2026-01-07,aqi
ID_01999,Xã Trung Giã,53.0,2026-01-07,aqi
ID_01639,Phường Yên Hòa,53.0,2026-01-07,aqi
