internal_id,administrative_id,name,type,minx,miny,maxx,maxy
ID_00364,,Phường Bạch Mai,district,,,,
ID_03125,,Phường Ba Đình,district,,,,
ID_00245,,Phường Bồ Đề,district,,,,
ID_01889,,Phường Cầu Giấy,district,,,,
ID_01913,,Phường Chương Mỹ,district,,,,
ID_02000,,Phường Cửa Nam,district,,,,
ID_01936,,Phường Đại Mỗ,district,,,,
ID_03161,,Phường Định Công,district,,,,
ID_02065,,Phường Đống Đa,district,,,,
ID_03064,,Phường Đông Ngạc,district,,,,
ID_00878,,Phường Dương Nội,district,,,,
ID_01584,,Phường Giảng Võ,district,,,,
ID_01837,,Phường Hà Đông,district,,,,
ID_00018,,Phường Hai Bà Trưng,district,,,,
ID_02347,,Phường Hoàng Liệt,district,,,,
ID_01163,,Phường Hoàng Mai,district,,,,
ID_02515,,Phường Hoàn Kiếm,district,,,,
ID_00498,,Phường Hồng Hà,district,,,,
ID_00868,,Phường Khương Đình,district,,,,
ID_02969,,Phường Kiến Hưng,district,,,,
ID_01096,,Phường Kim Liên,district,,,,
ID_01760,,Phường Láng,district,,,,
ID_01850,,Phường Lĩnh Nam,district,,,,
ID_01372,,Phường Long Biên,district,,,,
ID_00137,,Phường Nghĩa Đô,district,,,,
ID_00152,,Phường Ngọc Hà,district,,,,
ID_03000,,Phường Ô Chợ Dừa,district,,,,
ID_02431,,Phường Phúc Lợi,district,,,,
ID_03313,,Phường Phú Diễn,district,,,,
ID_01448,,Phường Phú Lương,district,,,,
ID_00192,,Phường Phương Liệt,district,,,,
ID_00086,,Phường Phú Thượng,district,,,,
ID_00524,,Phường Sơn Tây,district,,,,
ID_03103,,Phường Tây Hồ,district,,,,
ID_00405,,Phường Tây Mỗ,district,,,,
ID_02642,,Phường Tây Tựu,district,,,,
ID_01720,,Phường Thanh Liệt,district,,,,
ID_00982,,Phường Thanh Xuân,district,,,,
ID_01656,,Phường Thượng Cát,district,,,,
ID_03213,,Phường Từ Liêm,district,,,,
ID_00700,,Phường Tùng Thiện,district,,,,
ID_00629,,Phường Tương Mai,district,,,,
ID_00393,,Phường Văn Miếu - Quốc Tử Giám,district,,,,
ID_01784,,Phường Việt Hưng,district,,,,
ID_02436,,Phường Vĩnh Hưng,district,,,,
ID_01525,,Phường Vĩnh Tuy,district,,,,
ID_01061,,Phường Xuân Đỉnh,district,,,,
ID_00627,,Phường Xuân Phương,district,,,,
ID_01639,,Phường Yên Hòa,district,,,,
ID_03312,,Phường Yên Nghĩa,district,,,,
ID_02862,,Phường Yên Sở,district,,,,
ID_02548,,Xã An Khánh,district,,,,
ID_00945,,Xã Bất Bạt,district,,,,
ID_03116,,Xã Bát Tràng,district,,,,
ID_00035,,Xã Ba Vì,district,,,,
ID_01993,,Xã Bình Minh,district,,,,
ID_01780,,Xã Chương Dương,district,,,,
ID_02233,,Xã Chuyên Mỹ,district,,,,
