district_id,district_name,date,pm25_value,aqi_value,component
ID_00364,Phường Bạch Mai,2026-01-14,57.6,112.0,PM2.5
ID_00364,Phường Bạch Mai,2026-01-13,83.95,153.0,PM2.5
ID_00364,Phường Bạch Mai,2026-01-12,67.1,128.0,PM2.5
ID_00364,Phường Bạch Mai,2026-01-11,61.66,120.0,PM2.5
ID_00364,Phường Bạch Mai,2026-01-10,69.16,132.0,PM2.5
ID_00364,Phường Bạch Mai,2026-01-09,49.92,100.0,PM2.5
ID_00364,Phường Bạch Mai,2026-01-08,34.46,69.0,PM2.5
ID_00364,Phường Bạch Mai,2026-01-07,28.47,57.0,PM2.5
ID_00364,Phường Bạch Mai,2026-01-06,26.17,53.0,PM2.5
ID_00364,Phường Bạch Mai,2026-01-05,28.75,58.0,PM2.5
ID_03125,Phường Ba Đình,2026-01-14,50.36,101.0,PM2.5
ID_03125,Phường Ba Đình,2026-01-13,74.38,141.0,PM2.5
ID_03125,Phường Ba Đình,2026-01-12,57.63,113.0,PM2.5
ID_03125,Phường Ba Đình,2026-01-11,55.29,109.0,PM2.5
ID_03125,Phường Ba Đình,2026-01-10,61.88,120.0,PM2.5
ID_03125,Phường Ba Đình,2026-01-09,42.73,85.0,PM2.5
ID_03125,Phường Ba Đình,2026-01-08,30.95,62.0,PM2.5
ID_03125,Phường Ba Đình,2026-01-07,25.86,52.0,PM2.5
ID_03125,Phường Ba Đình,2026-01-06,23.21,46.0,PM2.5
ID_03125,Phường Ba Đình,2026-01-05,25.24,51.0,PM2.5
ID_00245,Phường Bồ Đề,2026-01-14,59.9,116.0,PM2.5
ID_00245,Phường Bồ Đề,2026-01-13,83.1,151.0,PM2.5
ID_00245,Phường Bồ Đề,2026-01-12,67.66,129.0,PM2.5
ID_00245,Phường Bồ Đề,2026-01-11,67.78,130.0,PM2.5
ID_00245,Phường Bồ Đề,2026-01-10,69.06,132.0,PM2.5
ID_00245,Phường Bồ Đề,2026-01-09,51.04,102.0,PM2.5
ID_00245,Phường Bồ Đề,2026-01-08,33.99,68.0,PM2.5
ID_00245,Phường Bồ Đề,2026-01-07,27.53,55.0,PM2.5
ID_00245,Phường Bồ Đề,2026-01-06,25.01,50.0,PM2.5
ID_00245,Phường Bồ Đề,2026-01-05,28.57,57.0,PM2.5
ID_01889,Phường Cầu Giấy,2026-01-14,56.17,110.0,PM2.5
ID_01889,Phường Cầu Giấy,2026-01-13,82.24,151.0,PM2.5
ID_01889,Phường Cầu Giấy,2026-01-12,65.43,126.0,PM2.5
ID_01889,Phường Cầu Giấy,2026-01-11,60.64,118.0,PM2.5
ID_01889,Phường Cầu Giấy,2026-01-10,67.89,130.0,PM2.5
ID_01889,Phường Cầu Giấy,2026-01-09,51.44,103.0,PM2.5
ID_01889,Phường Cầu Giấy,2026-01-08,32.0,64.0,PM2.5
ID_01889,Phường Cầu Giấy,2026-01-07,26.57,53.0,PM2.5
ID_01889,Phường Cầu Giấy,2026-01-06,24.7,49.0,PM2.5
ID_01889,Phường Cầu Giấy,2026-01-05,27.46,55.0,PM2.5
ID_01913,Phường Chương Mỹ,2026-01-14,51.11,102.0,PM2.5
ID_01913,Phường Chương Mỹ,2026-01-13,80.85,149.0,PM2.5
ID_01913,Phường Chương Mỹ,2026-01-12,61.2,119.0,PM2.5
ID_01913,Phường Chương Mỹ,2026-01-11,60.11,117.0,PM2.5
ID_01913,Phường Chương Mỹ,2026-01-10,63.58,123.0,PM2.5
ID_01913,Phường Chương Mỹ,2026-01-09,44.34,89.0,PM2.5
ID_01913,Phường Chương Mỹ,2026-01-08,31.31,63.0,PM2.5
ID_01913,Phường Chương Mỹ,2026-01-07,25.51,51.0,PM2.5
ID_01913,Phường Chương Mỹ,2026-01-06,24.12,48.0,PM2.5
ID_01913,Phường Chương Mỹ,2026-01-05,25.19,50.0,PM2.5
